1,FEC ID,STATE,STATE ABBREVIATION,GENERAL ELECTION DATE,FIRST NAME,LAST NAME,"LAST NAME,  FIRST",TOTAL VOTES,PARTY,GENERAL RESULTS,TOTAL VOTES #,GENERAL %,WINNER INDICATOR
206,P20003984,Illinois,IL,08/11/2016,Jill,Stein,"Stein, Jill",,GRE,"76,802",,1.39%,
207,P60022654,Illinois,IL,08/11/2016,Evan,McMullin,"McMullin, Evan",,W,"11,655",,0.21%,
208,P60021102,Illinois,IL,08/11/2016,Darrell,Castle,"Castle, Darrell",,W,"1,138",,0.02%,
209,P20005260,Illinois,IL,08/11/2016,Tom ,Hoefling,"Hoefling, Tom ",,W,175,,0.00%,
210,P20004511,Illinois,IL,08/11/2016,Laurence,Kotlikoff,"Kotlikoff, Laurence",,W,82,,0.00%,
211,n/a,Illinois,IL,08/11/2016,James,Anderson,"Anderson, James",,W,61,,0.00%,
212,n/a,Illinois,IL,08/11/2016,Phillip,Seeberg,"Seeberg, Phillip",,W,27,,0.00%,
213,n/a,Illinois,IL,08/11/2016,Marshall Roy,Schoenke,"Schoenke, Marshall Roy",,W,25,,0.00%,
214,n/a,Illinois,IL,08/11/2016,Kevin,McKee,"McKee, Kevin",,W,24,,0.00%,
215,P60018249,Illinois,IL,08/11/2016,Joseph A. ,Maldonado,"Maldonado, Joseph A. ",,W,20,,0.00%,
216,P60023686,Illinois,IL,08/11/2016,Joann,Breivogel,"Breivogel, Joann",,W,12,,0.00%,
217,P60019114,Illinois,IL,08/11/2016,Laio,Morris,"Morris, Laio",,W,10,,0.00%,
218,n/a,Illinois,IL,08/11/2016,David G.,Stack,"Stack, David G.",,W,10,,0.00%,
219,n/a,Illinois,IL,08/11/2016,Matthew ,Roberts,"Roberts, Matthew ",,W,8,,0.00%,
220,n/a,Illinois,IL,08/11/2016,Jonathan ,Lee,"Lee, Jonathan ",,W,7,,0.00%,
221,n/a,Illinois,IL,08/11/2016,Ben,Hartnell,"Hartnell, Ben",,W,6,,0.00%,
222,n/a,Illinois,IL,08/11/2016,Author C.,Brumfield,"Brumfield, Author C.",,W,5,,0.00%,
223,n/a,Illinois,IL,08/11/2016,Duff Cooper,Smith,"Smith, Duff Cooper",,W,4,,0.00%,
224,P60005303,Illinois,IL,08/11/2016,Cherunda,Fox,"Fox, Cherunda",,W,3,,0.00%,
225,n/a,Illinois,IL,08/11/2016,Timothy B.,Meluch,"Meluch, Timothy B.",,W,3,,0.00%,
226,n/a,Illinois,IL,08/11/2016,Roy Wayne,Tyree,"Tyree, Roy Wayne",,W,3,,0.00%,
227,n/a,Illinois,IL,08/11/2016,Mark J.,Harper,"Harper, Mark J.",,W,1,,0.00%,
228,n/a,Illinois,IL,08/11/2016,Nathan,Johnson,"Johnson, Nathan",,W,1,,0.00%,
229,n/a,Illinois,IL,08/11/2016,James T.,Struck,"Struck, James T.",,W,1,,0.00%,
230,P60020484,Illinois,IL,08/11/2016,Dem J.,Wysinger,"Wysinger, Dem J.",,W,1,,0.00%,
231,n/a,Illinois,IL,08/11/2016,,,,Total State Votes:,,,"5,536,424",,
232,n/a,Illinois,IL,08/11/2016,,,,,,,,,
233,P80001571,Indiana,IN,08/11/2016,Donald J.,Trump,"Trump, Donald J.",,REP,"1,557,286",,56.94%,W
234,P00003392,Indiana,IN,08/11/2016,Hillary,Clinton,"Clinton, Hillary",,DEM,"1,033,126",,37.77%,
235,P20002671,Indiana,IN,08/11/2016,Gary,Johnson,"Johnson, Gary",,LIB,"133,993",,4.90%,
236,P20003984,Indiana,IN,08/11/2016,Jill,Stein,"Stein, Jill",,W,"7,841",,0.29%,
237,P60021102,Indiana,IN,08/11/2016,Darrell L.,Castle,"Castle, Darrell L.",,W,"1,937",,0.07%,
238,P20005260,Indiana,IN,08/11/2016,Tom ,Hoefling,"Hoefling, Tom ",,W,269,,0.01%,
239,n/a,Indiana,IN,08/11/2016,Matthew ,Roberts,"Roberts, Matthew ",,W,148,,0.01%,
