State,num_deaths,area,Date,full_name
NJ,1,Northeast,2020-03-10,New Jersey
NY,0,Northeast,2020-03-10,New York
PA,0,Northeast,2020-03-10,Pennsylvania
RI,0,Northeast,2020-03-10,Rhode Island
VT,0,Northeast,2020-03-10,Vermont
GU,0,Territories,2020-03-10,NA
MP,0,Territories,2020-03-10,NA
PR,0,Territories,2020-03-10,NA
VI,0,Territories,2020-03-10,NA
AK,0,West,2020-03-11,Alaska
AZ,0,West,2020-03-11,Arizona
CA,1,West,2020-03-11,California
CO,0,West,2020-03-11,Colorado
HI,0,West,2020-03-11,Hawaii
ID,0,West,2020-03-11,Idaho
MT,0,West,2020-03-11,Montana
NM,0,West,2020-03-11,New Mexico
NV,0,West,2020-03-11,Nevada
OR,0,West,2020-03-11,Oregon
UT,0,West,2020-03-11,Utah
WA,5,West,2020-03-11,Washington
WY,0,West,2020-03-11,Wyoming
IA,0,Midwest,2020-03-11,Iowa
IL,0,Midwest,2020-03-11,Illinois
IN,0,Midwest,2020-03-11,Indiana
KS,0,Midwest,2020-03-11,Kansas
MI,0,Midwest,2020-03-11,Michigan
MN,0,Midwest,2020-03-11,Minnesota
MO,0,Midwest,2020-03-11,Missouri
ND,0,Midwest,2020-03-11,North Dakota
NE,0,Midwest,2020-03-11,Nebraska
OH,0,Midwest,2020-03-11,Ohio
OK,0,Midwest,2020-03-11,Oklahoma
SD,0,Midwest,2020-03-11,South Dakota
WI,0,Midwest,2020-03-11,Wisconsin
AL,0,South,2020-03-11,Alabama
AR,0,South,2020-03-11,Arkansas
FL,0,South,2020-03-11,Florida
GA,0,South,2020-03-11,Georgia
KY,0,South,2020-03-11,Kentucky
LA,0,South,2020-03-11,Louisiana
MS,0,South,2020-03-11,Mississippi
NC,0,South,2020-03-11,North Carolina
SC,0,South,2020-03-11,South Carolina
TN,0,South,2020-03-11,Tennessee
TX,0,South,2020-03-11,Texas
VA,0,South,2020-03-11,Virginia
WV,0,South,2020-03-11,West Virginia
CT,0,Northeast,2020-03-11,Connecticut
DC,0,Northeast,2020-03-11,NA
DE,0,Northeast,2020-03-11,Delaware
MA,0,Northeast,2020-03-11,Massachusetts
MD,0,Northeast,2020-03-11,Maryland
ME,0,Northeast,2020-03-11,Maine
NH,0,Northeast,2020-03-11,New Hampshire
NJ,0,Northeast,2020-03-11,New Jersey
NY,0,Northeast,2020-03-11,New York
PA,0,Northeast,2020-03-11,Pennsylvania
RI,0,Northeast,2020-03-11,Rhode Island
VT,0,Northeast,2020-03-11,Vermont
GU,0,Territories,2020-03-11,NA
MP,0,Territories,2020-03-11,NA
PR,0,Territories,2020-03-11,NA
VI,0,Territories,2020-03-11,NA
AK,0,West,2020-03-12,Alaska
AZ,0,West,2020-03-12,Arizona
CA,0,West,2020-03-12,California
CO,0,West,2020-03-12,Colorado
HI,0,West,2020-03-12,Hawaii
ID,0,West,2020-03-12,Idaho
MT,0,West,2020-03-12,Montana
NM,0,West,2020-03-12,New Mexico
NV,0,West,2020-03-12,Nevada
OR,0,West,2020-03-12,Oregon
UT,0,West,2020-03-12,Utah
WA,2,West,2020-03-12,Washington
